player,team,color,date,rating
ZywOo,Vitality,#ffd166,2021-06-24,1.2756
ZywOo,Vitality,#ffd166,2021-07-01,1.2770
ZywOo,Vitality,#ffd166,2021-07-08,1.2726
ZywOo,Vitality,#ffd166,2021-07-15,1.2885
ZywOo,Vitality,#ffd166,2021-07-22,1.2887
ZywOo,Vitality,#ffd166,2021-07-29,1.2870
ZywOo,Vitality,#ffd166,2021-08-05,1.2951
ZywOo,Vitality,#ffd166,2021-08-12,1.2787
ZywOo,Vitality,#ffd166,2021-08-19,1.2817
ZywOo,Vitality,#ffd166,2021-08-26,1.2796
ZywOo,Vitality,#ffd166,2021-09-02,1.2698
ZywOo,Vitality,#ffd166,2021-09-09,1.2692
ZywOo,Vitality,#ffd166,2021-09-16,1.2750
ZywOo,Vitality,#ffd166,2021-09-23,1.2761
ZywOo,Vitality,#ffd166,2021-09-30,1.2824
ZywOo,Vitality,#ffd166,2021-10-07,1.2771
ZywOo,Vitality,#ffd166,2021-10-14,1.2644
ZywOo,Vitality,#ffd166,2021-10-21,1.2695
ZywOo,Vitality,#ffd166,2021-10-28,1.2784
ZywOo,Vitality,#ffd166,2021-11-04,1.2675
ZywOo,Vitality,#ffd166,2021-11-11,1.2760
ZywOo,Vitality,#ffd166,2021-11-18,1.2748
ZywOo,Vitality,#ffd166,2021-11-25,1.2781
ZywOo,Vitality,#ffd166,2021-12-02,1.2739
ZywOo,Vitality,#ffd166,2021-12-09,1.2748
ZywOo,Vitality,#ffd166,2021-12-16,1.2698
ZywOo,Vitality,#ffd166,2021-12-23,1.2808
ZywOo,Vitality,#ffd166,2021-12-30,1.2769
ZywOo,Vitality,#ffd166,2022-01-06,1.2784
ZywOo,Vitality,#ffd166,2022-01-13,1.2790
ZywOo,Vitality,#ffd166,2022-01-20,1.2811
ZywOo,Vitality,#ffd166,2022-01-27,1.2782
ZywOo,Vitality,#ffd166,2022-02-03,1.2921
ZywOo,Vitality,#ffd166,2022-02-10,1.2967
ZywOo,Vitality,#ffd166,2022-02-17,1.2893
ZywOo,Vitality,#ffd166,2022-02-24,1.2803
ZywOo,Vitality,#ffd166,2022-03-03,1.2802
ZywOo,Vitality,#ffd166,2022-03-10,1.2813
ZywOo,Vitality,#ffd166,2022-03-17,1.2894
ZywOo,Vitality,#ffd166,2022-03-24,1.2748
ZywOo,Vitality,#ffd166,2022-03-31,1.2758
ZywOo,Vitality,#ffd166,2022-04-07,1.2716
ZywOo,Vitality,#ffd166,2022-04-14,1.2853
ZywOo,Vitality,#ffd166,2022-04-21,1.2735
ZywOo,Vitality,#ffd166,2022-04-28,1.2674
ZywOo,Vitality,#ffd166,2022-05-05,1.2588
ZywOo,Vitality,#ffd166,2022-05-12,1.2537
ZywOo,Vitality,#ffd166,2022-05-19,1.2497
ZywOo,Vitality,#ffd166,2022-05-26,1.2543
ZywOo,Vitality,#ffd166,2022-06-02,1.2601
ZywOo,Vitality,#ffd166,2022-06-09,1.2522
ZywOo,Vitality,#ffd166,2022-06-16,1.2274
ZywOo,Vitality,#ffd166,2022-06-23,1.2325
ZywOo,Vitality,#ffd166,2022-06-30,1.2415
ZywOo,Vitality,#ffd166,2022-07-07,1.2456
ZywOo,Vitality,#ffd166,2022-07-14,1.2328
ZywOo,Vitality,#ffd166,2022-07-21,1.2375
ZywOo,Vitality,#ffd166,2022-07-28,1.2408
ZywOo,Vitality,#ffd166,2022-08-04,1.2431
