x,1,2,3
0.21807,0.78196,0.97625,0.99826
0.21907,0.78097,0.97603,0.99824
0.22007,0.77997,0.97581,0.99821
0.22107,0.77898,0.97559,0.99819
0.22207,0.77798,0.97537,0.99816
0.22307,0.77698,0.97515,0.99814
0.22407,0.77598,0.97492,0.99811
0.22508,0.77499,0.97470,0.99809
0.22608,0.77398,0.97448,0.99806
0.22708,0.77298,0.97424,0.99804
0.22808,0.77198,0.97401,0.99801
0.22908,0.77096,0.97378,0.99799
0.23008,0.76995,0.97355,0.99796
0.23108,0.76893,0.97332,0.99794
0.23208,0.76793,0.97309,0.99791
0.23308,0.76692,0.97286,0.99789
0.23408,0.76592,0.97262,0.99786
0.23508,0.76493,0.97238,0.99783
0.23608,0.76394,0.97215,0.99780
0.23708,0.76296,0.97190,0.99778
0.23808,0.76196,0.97166,0.99775
0.23908,0.76096,0.97143,0.99772
0.24008,0.75996,0.97119,0.99769
0.24108,0.75897,0.97095,0.99766
0.24208,0.75799,0.97070,0.99763
0.24308,0.75697,0.97046,0.99760
0.24408,0.75597,0.97021,0.99757
0.24508,0.75496,0.96996,0.99754
0.24608,0.75396,0.96973,0.99751
0.24708,0.75297,0.96947,0.99748
0.24808,0.75197,0.96923,0.99745
0.24908,0.75097,0.96899,0.99742
0.25008,0.74997,0.96874,0.99739
0.25108,0.74896,0.96849,0.99735
0.25208,0.74795,0.96823,0.99732
0.25308,0.74694,0.96798,0.99729
0.25408,0.74594,0.96772,0.99725
0.25509,0.74493,0.96746,0.99722
0.25609,0.74394,0.96721,0.99719
0.25709,0.74294,0.96695,0.99716
0.25809,0.74194,0.96670,0.99713
0.25909,0.74093,0.96644,0.99709
0.26009,0.73993,0.96617,0.99706
0.26109,0.73892,0.96591,0.99703
0.26209,0.73792,0.96564,0.99699
0.26309,0.73692,0.96538,0.99695
0.26409,0.73591,0.96512,0.99692
0.26509,0.73489,0.96486,0.99688
0.26609,0.73389,0.96459,0.99685
0.26709,0.73289,0.96432,0.99681
0.26809,0.73190,0.96405,0.99678
0.26909,0.73090,0.96379,0.99675
0.27009,0.72989,0.96351,0.99671
0.27109,0.72888,0.96324,0.99668
0.27209,0.72787,0.96297,0.99664
0.27309,0.72686,0.96269,0.99660
0.27409,0.72587,0.96243,0.99657
0.27509,0.72488,0.96216,0.99653
0.27609,0.72388,0.96189,0.99649
0.27709,0.72286,0.96162,0.99645
0.27809,0.72186,0.96134,0.99642
0.27909,0.72087,0.96106,0.99638
0.28009,0.71988,0.96078,0.99634
0.28109,0.71888,0.96049,0.99630
0.28209,0.71790,0.96022,0.99626
0.28309,0.71691,0.95994,0.99621
0.28409,0.71591,0.95965,0.99617
0.28510,0.71490,0.95937,0.99613
0.28610,0.71390,0.95909,0.99610
0.28710,0.71289,0.95881,0.99605
0.28810,0.71189,0.95853,0.99601
0.28910,0.71090,0.95824,0.99597
0.29010,0.70990,0.95796,0.99593
0.29110,0.70890,0.95767,0.99588
0.29210,0.70790,0.95739,0.99584
0.29310,0.70689,0.95709,0.99580
0.29410,0.70588,0.95680,0.99575
0.29510,0.70490,0.95650,0.99571
0.29610,0.70390,0.95620,0.99567
0.29710,0.70291,0.95590,0.99563
0.29810,0.70191,0.95560,0.99559
0.29910,0.70090,0.95530,0.99555
0.30010,0.69990,0.95500,0.99550
0.30110,0.69892,0.95470,0.99546
0.30210,0.69792,0.95440,0.99541
0.30310,0.69692,0.95409,0.99536
0.30410,0.69594,0.95379,0.99532
0.30510,0.69494,0.95348,0.99527
0.30610,0.69393,0.95318,0.99522
0.30710,0.69293,0.95287,0.99517
0.30810,0.69193,0.95256,0.99513
0.30910,0.69093,0.95225,0.99508
0.31010,0.68991,0.95194,0.99503
0.31110,0.68891,0.95164,0.99498
0.31210,0.68792,0.95132,0.99494
0.31310,0.68692,0.95101,0.99489
0.31410,0.68592,0.95071,0.99484
0.31511,0.68491,0.95039,0.99479
0.31611,0.68391,0.95007,0.99474
0.31711,0.68292,0.94974,0.99469
0.31811,0.68191,0.94943,0.99464
0.31911,0.68091,0.94910,0.99459
0.32011,0.67990,0.94879,0.99454
0.32111,0.67889,0.94846,0.99449
0.32211,0.67789,0.94814,0.99444
0.32311,0.67689,0.94782,0.99438
0.32411,0.67588,0.94751,0.99433
0.32511,0.67488,0.94719,0.99428
0.32611,0.67389,0.94685,0.99423
0.32711,0.67289,0.94653,0.99418
0.32811,0.67187,0.94621,0.99413
0.32911,0.67087,0.94588,0.99408
0.33011,0.66987,0.94554,0.99402
0.33111,0.66887,0.94522,0.99397
0.33211,0.66786,0.94488,0.99391
0.33311,0.66685,0.94454,0.99386
0.33411,0.66584,0.94421,0.99380
0.33511,0.66484,0.94389,0.99375
0.33611,0.66383,0.94356,0.99369
0.33711,0.66282,0.94321,0.99364
0.33811,0.66182,0.94286,0.99358
0.33911,0.66082,0.94252,0.99353
0.34011,0.65983,0.94218,0.99346
0.34111,0.65883,0.94185,0.99341
0.34211,0.65782,0.94150,0.99335
0.34311,0.65684,0.94115,0.99329
0.34411,0.65585,0.94081,0.99323
0.34512,0.65485,0.94046,0.99317
0.34612,0.65385,0.94012,0.99311
0.34712,0.65284,0.93978,0.99305
0.34812,0.65183,0.93944,0.99299
0.34912,0.65082,0.93908,0.99293
0.35012,0.64983,0.93873,0.99287
0.35112,0.64883,0.93838,0.99281
0.35212,0.64784,0.93803,0.99275
0.35312,0.64685,0.93768,0.99269
0.35412,0.64585,0.93732,0.99263
0.35512,0.64485,0.93697,0.99257
0.35612,0.64386,0.93662,0.99250
0.35712,0.64285,0.93626,0.99244
0.35812,0.64185,0.93589,0.99237
0.35912,0.64085,0.93553,0.99231
0.36012,0.63985,0.93517,0.99224
0.36112,0.63885,0.93481,0.99218
0.36212,0.63783,0.93446,0.99211
0.36312,0.63683,0.93411,0.99204
0.36412,0.63582,0.93374,0.99198
0.36512,0.63482,0.93337,0.99191
0.36612,0.63382,0.93302,0.99184
0.36712,0.63282,0.93264,0.99177
0.36812,0.63182,0.93227,0.99170
0.36912,0.63082,0.93190,0.99163
0.37012,0.62982,0.93153,0.99156
0.37112,0.62882,0.93115,0.99150
0.37212,0.62780,0.93078,0.99143
0.37312,0.62678,0.93040,0.99136
0.37412,0.62578,0.93003,0.99129
0.37513,0.62478,0.92965,0.99122
0.37613,0.62377,0.92928,0.99115
0.37713,0.62275,0.92890,0.99108
0.37813,0.62175,0.92852,0.99101
0.37913,0.62073,0.92814,0.99094
0.38013,0.61973,0.92775,0.99086
0.38113,0.61874,0.92737,0.99080
0.38213,0.61774,0.92699,0.99072
0.38313,0.61672,0.92660,0.99064
0.38413,0.61571,0.92621,0.99057
0.38513,0.61470,0.92584,0.99049
0.38613,0.61369,0.92546,0.99042
0.38713,0.61267,0.92508,0.99035
0.38813,0.61168,0.92469,0.99027
0.38913,0.61067,0.92430,0.99020
0.39013,0.60968,0.92391,0.99012
0.39113,0.60867,0.92351,0.99004
0.39213,0.60767,0.92311,0.98997
0.39313,0.60666,0.92272,0.98990
0.39413,0.60564,0.92233,0.98982
0.39513,0.60465,0.92195,0.98974
0.39613,0.60366,0.92154,0.98966
0.39713,0.60266,0.92114,0.98958
0.39813,0.60166,0.92074,0.98950
0.39913,0.60065,0.92033,0.98942
0.40013,0.59965,0.91993,0.98934
0.40113,0.59865,0.91953,0.98926
0.40213,0.59763,0.91913,0.98918
0.40313,0.59664,0.91873,0.98910
0.40413,0.59565,0.91832,0.98902
0.40514,0.59465,0.91793,0.98893
0.40614,0.59365,0.91752,0.98884
0.40714,0.59264,0.91711,0.98876
0.40814,0.59163,0.91668,0.98868
0.40914,0.59062,0.91627,0.98859
0.41014,0.58962,0.91586,0.98851
0.41114,0.58863,0.91544,0.98843
0.41214,0.58762,0.91504,0.98834
0.41314,0.58662,0.91462,0.98825
0.41414,0.58561,0.91421,0.98817
0.41514,0.58462,0.91380,0.98809
0.41614,0.58362,0.91338,0.98800
0.41714,0.58262,0.91295,0.98791
0.41814,0.58162,0.91254,0.98783
0.41914,0.58063,0.91212,0.98774
0.42014,0.57962,0.91170,0.98765
0.42114,0.57863,0.91128,0.98755
0.42214,0.57763,0.91085,0.98747
0.42314,0.57660,0.91043,0.98738
0.42414,0.57559,0.91001,0.98728
0.42514,0.57461,0.90958,0.98719
0.42614,0.57360,0.90915,0.98710
0.42714,0.57262,0.90872,0.98701
0.42814,0.57162,0.90830,0.98692
0.42914,0.57060,0.90786,0.98683
0.43014,0.56959,0.90742,0.98674
0.43114,0.56858,0.90700,0.98664
0.43214,0.56759,0.90657,0.98655
0.43314,0.56660,0.90613,0.98646
0.43414,0.56560,0.90568,0.98636
0.43515,0.56461,0.90525,0.98626
0.43615,0.56361,0.90482,0.98616
0.43715,0.56261,0.90439,0.98606
0.43815,0.56162,0.90396,0.98597
0.43915,0.56061,0.90352,0.98587
0.44015,0.55960,0.90307,0.98577
0.44115,0.55860,0.90265,0.98568
0.44215,0.55762,0.90219,0.98558
0.44315,0.55663,0.90174,0.98548
0.44415,0.55562,0.90128,0.98538
0.44515,0.55461,0.90083,0.98528
0.44615,0.55362,0.90039,0.98519
0.44715,0.55262,0.89994,0.98509
0.44815,0.55161,0.89949,0.98498
0.44915,0.55061,0.89904,0.98488
0.45015,0.54961,0.89859,0.98478
0.45115,0.54862,0.89814,0.98467
0.45215,0.54761,0.89770,0.98457
0.45315,0.54660,0.89723,0.98447
0.45415,0.54560,0.89678,0.98437
0.45515,0.54463,0.89633,0.98427
0.45615,0.54365,0.89588,0.98416
0.45715,0.54265,0.89543,0.98406
0.45815,0.54166,0.89497,0.98395
0.45915,0.54066,0.89452,0.98385
0.46015,0.53967,0.89406,0.98375
0.46115,0.53868,0.89359,0.98364
0.46215,0.53769,0.89313,0.98354
0.46315,0.53669,0.89267,0.98343
0.46415,0.53570,0.89222,0.98333
0.46516,0.53473,0.89176,0.98322
0.46616,0.53372,0.89129,0.98311
0.46716,0.53274,0.89083,0.98301
0.46816,0.53175,0.89034,0.98290
0.46916,0.53075,0.88987,0.98279
0.47016,0.52975,0.88941,0.98268
0.47116,0.52875,0.88894,0.98257
0.47216,0.52775,0.88846,0.98247
0.47316,0.52676,0.88798,0.98235
0.47416,0.52576,0.88751,0.98224
0.47516,0.52477,0.88702,0.98213
0.47616,0.52376,0.88654,0.98202
0.47716,0.52276,0.88608,0.98191
0.47816,0.52175,0.88558,0.98179
0.47916,0.52076,0.88512,0.98169
0.48016,0.51976,0.88461,0.98157
0.48116,0.51875,0.88414,0.98146
0.48216,0.51774,0.88364,0.98135
0.48316,0.51674,0.88316,0.98123
0.48416,0.51574,0.88269,0.98111
0.48516,0.51472,0.88220,0.98099
0.48616,0.51373,0.88173,0.98087
0.48716,0.51272,0.88124,0.98075
0.48816,0.51172,0.88075,0.98063
0.48916,0.51072,0.88027,0.98051
0.49016,0.50972,0.87977,0.98039
0.49116,0.50871,0.87928,0.98027
0.49216,0.50772,0.87879,0.98015
0.49316,0.50673,0.87827,0.98003
0.49416,0.50574,0.87777,0.97992
0.49517,0.50473,0.87727,0.97980
0.49617,0.50372,0.87678,0.97967
0.49717,0.50272,0.87628,0.97955
0.49817,0.50173,0.87579,0.97943
0.49917,0.50071,0.87528,0.97930
0.50017,0.49972,0.87478,0.97918
0.50117,0.49871,0.87428,0.97906
0.50217,0.49771,0.87377,0.97893
0.50317,0.49673,0.87328,0.97880
0.50417,0.49573,0.87277,0.97867
0.50517,0.49473,0.87226,0.97855
0.50617,0.49373,0.87175,0.97843
0.50717,0.49274,0.87123,0.97830
0.50817,0.49173,0.87073,0.97818
0.50917,0.49073,0.87023,0.97805
0.51017,0.48973,0.86972,0.97791
0.51117,0.48872,0.86920,0.97778
0.51217,0.48770,0.86868,0.97765
0.51317,0.48669,0.86818,0.97751
0.51417,0.48569,0.86765,0.97738
0.51517,0.48467,0.86714,0.97725
0.51617,0.48368,0.86663,0.97712
0.51717,0.48267,0.86612,0.97698
0.51817,0.48168,0.86561,0.97685
